tokens,examples
"('humanity', 'noun')","Then he commenced to talk, really talk. and inside of two flaps of a herring's fin he had me mesmerized, like Eben Holt's boy at the town hall show. He talked about the ills of humanity, and the glories of health and Nature and service and land knows what all."
"('tablet', 'noun')","Also mentioned is the Rev. T. Stock, who has a tablet in St John's church [Gloucester] and ""who with Raikes established the four original Sunday schools in this parish ... in 1780. From this small beginning sprung that gratuitous system of Christian instruction which has covered the face of England and Wales with schools."""
"('grim', 'adjective')",Life was grim in many northern industrial towns.
"('so as', 'adverb')",so as
"('inspector', 'noun')","Imagine a country where children do nothing but play until they start compulsory schooling at age seven. Then, without exception, they attend comprehensives until the age of 16. […] There are no inspectors, no exams until the age of 18, no school league tables, no private tuition industry, no school uniforms. […]"
"('bormann', 'None')",bormann
"('tested', 'adjective')",tested
"('pass', 'noun')","Synonyms: gap, notch"
"('incredulity', 'noun')","Wide went her eyes in wonder and incredulity, as she beheld this seeming apparition risen from the dead."
"('corolla', 'None')",corolla
"('first-degree', 'adjective')","The jury found her guilty of 6 counts of first-degree murder, one for each of the victims of her rampage."
"('sublime', 'adjective')",the sublime Julian leader
"('wheelhouse', 'noun')","A machine with two pair of moulds only, will make from fifty to seventy thousand bricks per week. But if the regular market be large, it can, by using a steam machine of 10 horse power, work sixteen moulds,  and make two hundred thousand bricks per week."
"('waht', 'verb')",waht
"('dwarf', 'verb')","Synonyms: miniaturize, shrink"
"('context', 'noun')","In what context did your attack on him happen? - We had a pretty tense relationship at the time, and when he insulted me I snapped."
"('lily', 'noun')","But sailing further, it veers its lily to the west."
"('144', 'None')",144
"('dispute', 'noun')","A ""who-does-what"" labour dispute at Swindon works during April led to a stoppage of work on the construction of the new 0-6-0 Type 1 diesel-hydraulic locomotives of the D9500 series and work had not been resumed as we closed for press."
"('experience', 'verb')",experience
"('sometime', 'adverb')",I'll see you at the pub sometime this evening.
"('chance', 'noun')","Here was my chance. I took the old man aside, and two or three glasses of Old Crow launched him into reminiscence."
"('corporation', 'noun')","That the young Mr. Churchills liked—but they did not like him coming round of an evening and drinking weak whisky-and-water while he held forth on railway debentures and corporation loans. Mr. Barrett, however, by fawning and flattery, seemed to be able to make not only Mrs. Churchill but everyone else do what he desired."
"('trial', 'noun')",They will perform the trials for the new equipment next week.
"('matching', 'adjective')",We bought a new sofa and matching armchairs.
"('gaze', 'verb')",They gazed at the stars for hours.
"('flatford', 'None')",flatford
"('gurus', 'noun')",gurus
"('feverishly', 'adverb')",In the outer room the two women knitted black wool feverishly.
"('wobbly', 'adjective')","Synonyms: precarious, rickety, shaky, tottering, unsafe, unstable, unsteady"
"('scale', 'noun')",Please rate your experience on a scale from 1 to 10.
"('protester', 'noun')","The dispatches […] also exposed the blatant discrepancy between the west's professed values and actual foreign policies. Having lectured the Arab world about democracy for years, its collusion in suppressing freedom was undeniable as protesters were met by weaponry and tear gas made in the west, employed by a military trained by westerners."
"('phased', 'adjective')",The government are planning a phased introduction of the reforms. 
"('supremely', 'adverb')",They were supremely confident at the beginning of the season.
"('architect', 'noun')","Plato made the causes of things to be matter, ideas, and an efficient architect."
"('lone', 'adjective')",a lone traveler or watcher
"('saucer-shaped', 'adjective')",saucer-shaped
"('loop', 'noun')","Arches, loops, and whorls are patterns found in fingerprints."
"('bulbous', 'adjective')","A neon cacophony hung only a few feet above their heads, the popping and buzzing of the lights only occasionally drowned out by the shouts of the barkers, bulbous men whose doughy fat strained at their sweat-stained t-shirts […]"
"('careful', 'adjective')",He was a slow and careful driver.
"('postholder', 'noun')",postholder
"('re', 'preposition')","Synonyms: about, apropos, as for; see also Thesaurus:about"
"('disturbance', 'noun')","That guy causes a lot of trouble, you know, he’s such a disturbance."
"('stanley', 'None')",stanley
"('hiss', 'noun')","Their music frightful as the serpent’s hiss,And boding screech-owls make the concert full!"
"('representative', 'noun')",She served four terms as representative of her local at the national union convention.
"('twenty-four', 'None')",twenty-four
"('p.m.', 'adverb')","Anna. — Yes, Ms. Weaver. —  Are you busy? — Yes, Ms. Weaver. I am busy. — My office. 5:00 p.m. —  5:00 p.m.Audio "
"('demolition', 'noun')","During the war, but unrecorded because of the requirements of censorship, a link with the now partly-abandoned Cardiff Railway disappeared with the demolition of Rhydyfelin Viaduct, near Treforest, South Wales, in the latter part of 1942. The steelwork in this structure, amounting to nearly 1,150 tons, was salvaged as scrap metal to assist the war effort."
"('spur', 'noun')","Meronyms: rowel, prick"
"('brittle', 'adjective')",Cast iron is much more brittle than forged iron.
"('knowe', 'None')",knowe
"('elevate', 'verb')","Synonyms: lift, raise"
"('sevre', 'None')",sevre
"('acland-hood', 'None')",acland-hood
"('retrospectively', 'adverb')",retrospectively
"('wrap', 'verb')",Christmas gifts are commonly known to be wrapped in paper.
"('curving', 'adjective')",a curving path
"('humourless', 'adjective')",humourless
"('hitherto', 'adverb')","The exhaustless conjecturings of that evening's full conversation, made such of the small party, as had hitherto been strangers, well acquainted with each other's turn of mind […]"
"('trepper', 'None')",trepper
"('impossibility', 'noun')",Meeting the deadline is an impossibility; there is no way we can be ready in time.
"('command', 'verb')",The soldier was commanded to cease firing.
"('shout', 'noun')",give out a shout
"('cross-tabulation', 'noun')",cross-tabulation
"('comfort', 'verb')",Rob comforted Aaron because he was lost and very sad.
"('slump', 'noun')","TOM. We haven't had sex with each other in five months.MICHAEL. We're in a slump, I know that."""
"('affection', 'noun')","A Porism is a proposition in which it is proposed to demonstrate that some one thing, or more things than one, are given, to which, as also to each of innumerable other things, not given indeed, but which have the same relation to those which are given, it is to be shewn that there belongs some common affection described in the proposition."
"('comedy', 'noun')",A Midsummer Night's Dream is among Shakespeare's most famous comedies.
"('read', 'verb')",Have you read this book?
"('commissioner', 'noun')","[…]  the 'private nature' of commissioned pictures, particularly portraits, was frequently mentioned as the justification for two types of proposal: the ownership of painting copyright by the commissioner, or ownership of painting copyright by the artist  […]"
"('tourism', 'noun')",Mass tourism damaged the beach.
"('fillet', 'noun')","In secret shadow, farre from all mens sight:  From her faire head her fillet she undight,  And laid her stole aside."
"('sore', 'adjective')",Her feet were sore from walking so far.
"('well-crafted', 'adjective')",well-crafted
"('phenomenon', 'noun')","The Indians, making a hasty inference from a trivial phenomenon, arrived unawares at a probably correct conclusion."
"('fingernail', 'noun')",fingernail
"('retrospect', 'noun')","My mind, calmer and stronger now than last night, made for itself some imperious rules, prohibiting under deadly penalties all weak retrospect of happiness past; commanding a patient journeying through the wilderness of the present..."
"('globe', 'noun')",the globe of the eye; the globe of a lamp
"('mate', 'noun')","Synonyms: fellow,  fere"
